Facility,Facility-link,Facility-Activity,Date,Time-start,Time-end,Time,Details,details-link
J.A. Dulude Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/ja-dulude-arena,Public Skating,Sunday March 15,,,4:00 pm - 4:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1427027
Manotick Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/manotick-community-centre,Public Skating,Sunday March 15,,,4:00 pm - 4:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1427876
Jack Charron Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/jack-charron-arena,Public Skating,Sunday March 15,,,4:00 pm - 4:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1427419
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Sunday March 15,,,4:00 pm - 5:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2007501
Routhier Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/routhier-community-centre,Badminton,Sunday March 15,,,4:00 pm - 8:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1926701
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Lane Swim,Sunday March 15,,,4:00 pm - 7:00 pm,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1928941
Minto Recreation Complex - Barrhaven,/en/recreation-and-parks/recreation-facilities/facility-listing/minto-recreation-complex-barrhaven,Family Skating,Sunday March 15,,,4:00 pm - 4:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1428117
Jim Durrell Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/jim-durrell-recreation-centre,Public Skating,Sunday March 15,,,4:30 pm - 5:20 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1475461
Jim Durrell Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/jim-durrell-recreation-centre,Public Skating,Sunday March 15,,,4:30 pm - 5:20 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1475461
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Aqua- General,Sunday March 15,,,4:30 pm - 5:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2019606
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Basketball (Family),Sunday March 15,,,4:30 pm - 6:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1419936
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Badminton (Adult),Sunday March 15,,,5:00 pm - 6:55 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1481606
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Badminton,Sunday March 15,,,5:00 pm - 6:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1617261
Minto Recreation Complex - Barrhaven,/en/recreation-and-parks/recreation-facilities/facility-listing/minto-recreation-complex-barrhaven,Public Skating,Sunday March 15,,,5:00 pm - 5:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1428184
Jack Purcell Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/jack-purcell-community-centre,Women Only Family,Sunday March 15,,,5:30 pm - 6:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1281422
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Lane Swim,Sunday March 15,,,5:30 pm - 7:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1871496
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Preschool Swim,Sunday March 15,,,5:30 pm - 7:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1873656
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Badminton,Sunday March 15,,,6:00 pm - 7:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1617331
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Public Swim,Sunday March 15,,,6:30 pm - 8:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1991591
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Hot tub/Steam room,Sunday March 15,,,6:30 pm - 8:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2038746
Sawmill Creek Community Centre and Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/sawmill-creek-community-centre-and-pool,Lane Swim,Sunday March 15,,,6:30 pm - 8:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1866231
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Badminton,Sunday March 15,,,7:00 pm - 8:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1983531
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Table Tennis,Sunday March 15,,,7:00 pm - 8:00 pm,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1191918
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Lane Swim,Sunday March 15,,,7:30 pm - 8:45 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1898066
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Badminton,Sunday March 15,,,8:00 pm - 9:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1423719
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Table Tennis,Sunday March 15,,,8:00 pm - 9:00 pm,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1969996
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Lane Swim,Monday March 16,,,6:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1870181
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Lane Swim,Monday March 16,,,6:00 am - 8:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1627001
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Indoor Cycling,Monday March 16,,,6:00 am - 6:45 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1891046
Champagne Fitness Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/champagne-fitness-centre,Lane Swim,Monday March 16,,,6:30 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2025571
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Lane Swim,Monday March 16,,,6:30 am - 8:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2044121
Hunt Club-Riverside Park Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/hunt-club-riverside-park-community-centre,Basketball,Monday March 16,,,7:00 am - 8:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1910996
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Monday March 16,,,7:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2002601
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Aqua- General,Monday March 16,,,7:00 am - 8:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1873896
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Aqua- TMC,Monday March 16,,,7:00 am - 8:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2018866
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Lane Swim,Monday March 16,,,7:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2017501
Hunt Club-Riverside Park Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/hunt-club-riverside-park-community-centre,TMC,Monday March 16,,,8:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1973076
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Public Swim,Monday March 16,,,8:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1871616
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Indoor Cycling,Monday March 16,,,8:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1648286
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Aqua- General,Monday March 16,,,8:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1629781
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Cardio Blast,Monday March 16,,,8:00 am - 8:55 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2030826
Ray Friel Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex,Core Conditioning,Monday March 16,,,8:15 am - 9:15 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1413433
Sawmill Creek Community Centre and Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/sawmill-creek-community-centre-and-pool,Aqua- Turbo,Monday March 16,,,8:15 am - 9:15 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1862521
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Aqua- General,Monday March 16,,,8:30 am - 9:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1993051
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Aqua- Turbo,Monday March 16,,,8:30 am - 9:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2043681
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Aqua- TMC,Monday March 16,,,8:30 am - 9:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2043786
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Lane Swim,Monday March 16,,,8:30 am - 3:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2044141
Hunt Club-Riverside Park Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/hunt-club-riverside-park-community-centre,TMC,Monday March 16,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1973221
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Aqua- Turbo,Monday March 16,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1957816
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Monday March 16,,,9:00 am - 11:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2003096
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Indoor Cycling,Monday March 16,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1648481
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Aqua- General,Monday March 16,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1874491
Champagne Fitness Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/champagne-fitness-centre,Aqua- General,Monday March 16,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2031726
Greenboro Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/greenboro-community-centre,Indoor Cycling,Monday March 16,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1919286
Ray Friel Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex,Indoor Cycling,Monday March 16,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1904006
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Aqua- General,Monday March 16,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1630421
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Cardio and Strength Older Adult,Monday March 16,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1891406
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Aqua- Turbo,Monday March 16,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2019111
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Cardio and Strength,Monday March 16,,,9:00 am - 9:55 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1428812
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Cardio Blast,Monday March 16,,,9:00 am - 9:55 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2030956
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Preschool Swim,Monday March 16,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2044361
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Cardio and Strength,Monday March 16,,,9:15 am - 10:15 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1033078
Ray Friel Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex,Yoga-Pilates,Monday March 16,,,9:15 am - 10:15 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1413454
Sawmill Creek Community Centre and Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/sawmill-creek-community-centre-and-pool,Aqua- General,Monday March 16,,,9:15 am - 10:15 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1863381
