Facility,Facility-link,Facility-Activity,Date,Time-start,Time-end,Time,Details,details-link
Pinecrest Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/pinecrest-recreation-complex,Cardio and Strength Older Adult,Tuesday February 18,,,8:30 am - 9:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1853181
Pinecrest Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/pinecrest-recreation-complex,Aqua- TMC,Tuesday February 18,,,8:30 am - 9:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1895771
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Lane Swim,Tuesday February 18,,,8:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1997831
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Aqua- Turbo,Tuesday February 18,,,8:30 am - 9:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1997046
Brewer Pool and Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/brewer-pool-and-arena,Aqua- General,Tuesday February 18,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1638286
Hunt Club-Riverside Park Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/hunt-club-riverside-park-community-centre,Cardio Older Adult,Tuesday February 18,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1424935
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,The Groove® Method,Tuesday February 18,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1886036
Kanata Leisure Centre and Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/kanata-leisure-centre-and-wave-pool,Aqua- Turbo,Tuesday February 18,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1446651
Kanata Leisure Centre and Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/kanata-leisure-centre-and-wave-pool,Step and Strength,Tuesday February 18,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1999136
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Aqua- General,Tuesday February 18,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1960011
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Tuesday February 18,,,9:00 am - 11:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2003096
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Aqua- General,Tuesday February 18,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2023521
Greenboro Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/greenboro-community-centre,Cardio and Strength Older Adult,Tuesday February 18,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1920511
Greenboro Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/greenboro-community-centre,Bootcamp,Tuesday February 18,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1450326
Greenboro Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/greenboro-community-centre,Bootcamp,Tuesday February 18,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1450326
Ray Friel Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex,Aqua- General,Tuesday February 18,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1911626
Ray Friel Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex,Indoor Cycling,Tuesday February 18,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1904006
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Aqua- General,Tuesday February 18,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1631906
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Cardio and Strength Older Adult,Tuesday February 18,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1891406
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Cardio and Strength,Tuesday February 18,,,9:00 am - 9:55 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1428812
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Core Conditioning,Tuesday February 18,,,9:00 am - 9:55 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1428769
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Cardio and Strength Older Adult,Tuesday February 18,,,9:00 am - 9:55 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2031456
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Preschool Swim,Tuesday February 18,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1998411
Canterbury Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/canterbury-recreation-complex,Aqua- General,Tuesday February 18,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1671681
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Core Conditioning,Tuesday February 18,,,9:10 am - 10:10 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1885966
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Zumba®,Tuesday February 18,,,9:15 am - 10:15 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2021541
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,TMC,Tuesday February 18,,,9:15 am - 10:15 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1037272
